date,day_of_week,hour,meal_period,weather,promo_active,guests,servers_on_shift,kitchen_staff,wait_time_minutes,table_turn_time,avg_ticket,revenue,customer_satisfaction,complaints
2025-04-13,Sunday,17,Dinner,Cloudy,1,35,6,4,20.2,78.0,18.03,583.28,3.5,2
2025-01-17,Friday,14,Lunch,Sunny,1,65,10,3,20.7,74.6,19.4,1310.04,3.5,1
2025-05-26,Monday,18,Dinner,Rainy,0,15,3,2,17.4,80.5,32.08,508.48,3.9,0
2025-02-24,Monday,20,Dinner,Sunny,0,50,8,3,27.5,91.8,21.22,996.89,2.9,4
2025-04-12,Saturday,20,Dinner,Sunny,0,27,5,2,21.4,80.1,18.5,866.36,3.6,0
2025-02-06,Thursday,17,Dinner,Rainy,1,55,9,4,30.3,74.1,13.75,783.83,2.7,2
2025-02-05,Wednesday,14,Lunch,Rainy,1,38,7,2,30.2,81.9,20.3,523.17,3.0,1
2025-05-24,Saturday,21,Dinner,Cloudy,0,45,7,2,23.3,76.8,12.21,541.31,3.4,2
2025-03-09,Sunday,19,Dinner,Cloudy,0,41,6,3,23.4,80.3,20.29,854.28,3.1,1
2025-05-30,Friday,19,Dinner,Sunny,0,51,11,3,28.1,60.6,14.69,563.09,2.7,0
2025-04-03,Thursday,14,Lunch,Rainy,1,40,5,2,20.7,91.4,23.47,1047.05,3.2,0
2025-02-05,Wednesday,21,Dinner,Sunny,1,48,6,3,30.8,76.0,21.69,1288.08,2.2,1
2025-05-07,Wednesday,12,Lunch,Rainy,0,13,3,2,14.4,84.2,15.99,321.32,3.5,0
2025-01-13,Monday,12,Lunch,Cloudy,0,37,6,2,25.6,80.1,27.41,1031.3,3.4,1
2025-02-09,Sunday,13,Lunch,Sunny,0,21,4,2,19.8,77.0,24.39,431.23,3.4,0
2025-06-24,Tuesday,19,Dinner,Rainy,0,13,3,3,21.0,73.8,25.11,569.51,4.2,1
2025-06-02,Monday,12,Lunch,Rainy,0,33,3,2,29.5,71.2,25.32,606.96,2.7,2
2025-04-09,Wednesday,19,Dinner,Cloudy,0,39,6,2,27.7,77.0,23.49,1300.12,3.1,2
2025-06-02,Monday,20,Dinner,Sunny,1,62,10,3,27.9,86.0,15.72,710.21,3.6,0
2025-05-16,Friday,17,Dinner,Rainy,0,39,7,3,15.1,77.1,25.44,1076.13,4.4,2
2025-05-22,Thursday,11,Lunch,Sunny,0,43,7,4,20.7,86.5,22.68,905.42,4.0,1
2025-06-24,Tuesday,12,Lunch,Cloudy,0,24,5,2,21.2,81.0,15.28,269.13,4.0,3
2025-06-24,Tuesday,21,Dinner,Sunny,1,50,8,5,22.2,58.4,24.37,966.23,2.8,1
2025-03-10,Monday,18,Dinner,Sunny,0,24,3,2,18.0,67.2,25.73,592.66,3.5,3
2025-01-29,Wednesday,17,Dinner,Sunny,1,54,10,2,27.6,76.8,23.84,1212.96,3.1,4
2025-04-22,Tuesday,13,Lunch,Sunny,1,34,6,2,25.8,82.1,13.39,724.64,3.0,5
2025-04-27,Sunday,11,Lunch,Sunny,0,31,3,2,27.3,95.7,20.93,682.4,3.2,3
2025-03-09,Sunday,21,Dinner,Cloudy,0,46,8,3,25.4,89.1,26.28,1284.97,3.7,2
2025-02-15,Saturday,21,Dinner,Rainy,1,59,9,4,25.9,83.9,22.83,1347.48,3.6,2
2025-01-28,Tuesday,17,Dinner,Cloudy,0,20,3,2,23.2,91.5,22.62,494.25,3.7,0
2025-06-13,Friday,21,Dinner,Rainy,1,49,7,3,27.8,67.2,25.34,1260.83,3.3,0
2025-06-05,Thursday,14,Lunch,Sunny,0,29,6,2,18.3,91.0,17.21,250.0,4.0,1
2025-02-09,Sunday,18,Dinner,Sunny,1,37,4,3,28.5,81.3,29.46,861.19,2.8,3
2025-02-11,Tuesday,21,Dinner,Sunny,0,22,5,2,25.4,83.0,24.83,631.73,3.5,2
2025-05-16,Friday,11,Lunch,Sunny,1,65,11,4,28.3,75.9,15.88,921.08,3.1,1
2025-06-03,Tuesday,18,Dinner,Cloudy,0,32,5,2,20.0,96.8,21.02,826.17,3.2,2
2025-05-06,Tuesday,11,Lunch,Sunny,0,34,4,4,27.0,79.4,23.11,817.0,2.4,0
2025-01-29,Wednesday,18,Dinner,Sunny,0,33,4,2,20.4,85.2,25.49,767.15,3.5,0
2025-03-20,Thursday,14,Lunch,Cloudy,1,43,6,4,24.7,87.0,22.49,886.78,3.9,2
2025-01-15,Wednesday,14,Lunch,Cloudy,0,36,4,2,30.1,92.1,34.86,1240.47,2.6,3
2025-05-26,Monday,12,Lunch,Cloudy,0,42,8,3,26.2,87.7,15.54,517.44,2.6,4
2025-01-22,Wednesday,20,Dinner,Sunny,0,55,10,5,18.0,79.0,24.98,1413.0,3.6,1
2025-01-18,Saturday,21,Dinner,Rainy,0,33,6,2,26.2,57.9,27.6,649.84,3.1,2
2025-02-02,Sunday,13,Lunch,Sunny,1,31,3,2,17.0,77.2,18.73,677.97,3.3,1
2025-06-18,Wednesday,20,Dinner,Sunny,0,43,8,4,20.5,80.2,28.19,1166.67,3.8,0
2025-05-21,Wednesday,13,Lunch,Sunny,0,42,7,4,21.1,78.3,15.01,767.87,3.7,1
2025-03-09,Sunday,21,Dinner,Sunny,1,54,7,5,21.7,93.3,20.02,1211.59,3.8,3
2025-06-05,Thursday,19,Dinner,Rainy,0,41,8,4,14.8,86.9,18.41,800.21,3.7,1
2025-02-24,Monday,21,Dinner,Rainy,0,33,5,4,23.4,77.1,26.86,1064.8,2.9,3
2025-06-26,Thursday,14,Lunch,Rainy,0,28,4,2,16.5,87.7,19.61,400.37,3.0,0
2025-03-21,Friday,19,Dinner,Sunny,0,46,6,4,31.2,65.7,20.27,941.29,3.4,1
2025-06-21,Saturday,18,Dinner,Sunny,0,59,8,7,25.5,85.7,25.3,1454.8,3.5,1
2025-04-23,Wednesday,21,Dinner,Rainy,0,29,3,2,21.6,85.7,20.53,308.55,3.7,2
2025-04-26,Saturday,12,Lunch,Sunny,0,50,7,4,16.7,70.2,24.28,975.05,4.1,2
2025-03-05,Wednesday,14,Lunch,Cloudy,0,39,6,4,23.7,76.9,24.6,1034.35,2.9,3
2025-01-17,Friday,18,Dinner,Sunny,1,61,9,6,23.5,72.8,31.13,1977.58,3.1,1
2025-01-06,Monday,21,Dinner,Sunny,0,47,9,2,24.0,91.1,16.26,811.38,3.4,0
2025-02-28,Friday,14,Lunch,Cloudy,0,61,9,5,31.0,80.6,22.19,1266.34,2.5,1
2025-01-02,Thursday,12,Lunch,Sunny,0,37,4,3,29.4,66.7,24.5,1090.65,2.6,4
2025-06-11,Wednesday,11,Lunch,Sunny,0,25,4,2,22.8,91.3,21.77,741.35,3.0,2
2025-02-28,Friday,12,Lunch,Sunny,0,57,9,7,22.9,80.3,21.76,1260.35,3.4,2
2025-01-09,Thursday,18,Dinner,Sunny,0,27,4,2,26.8,74.3,16.6,771.56,2.8,4
2025-01-19,Sunday,21,Dinner,Sunny,1,43,7,4,20.3,79.3,22.95,1135.66,3.6,0
2025-03-02,Sunday,17,Dinner,Cloudy,0,27,4,2,22.1,79.8,32.86,842.2,3.3,1
2025-06-21,Saturday,20,Dinner,Sunny,0,50,8,4,13.4,67.9,11.45,616.49,4.2,0
2025-02-24,Monday,21,Dinner,Cloudy,1,35,5,4,22.5,75.8,18.85,601.52,3.6,3
2025-02-03,Monday,20,Dinner,Sunny,0,9,3,2,15.4,64.9,15.79,250.0,4.3,1
2025-03-04,Tuesday,20,Dinner,Sunny,0,29,5,2,23.3,78.9,25.32,752.22,3.1,2
2025-04-15,Tuesday,14,Lunch,Sunny,0,46,6,2,24.2,72.5,13.89,681.67,3.5,2
2025-01-25,Saturday,12,Lunch,Cloudy,0,51,8,6,18.1,81.8,24.2,1429.46,4.4,0
2025-06-18,Wednesday,19,Dinner,Cloudy,0,35,7,2,22.2,80.2,21.18,620.93,4.0,1
2025-04-01,Tuesday,19,Dinner,Cloudy,1,38,5,3,20.3,70.9,23.91,1105.25,3.1,0
2025-04-16,Wednesday,20,Dinner,Cloudy,1,37,6,5,17.2,82.7,20.96,1004.79,4.1,2
2025-01-14,Tuesday,12,Lunch,Sunny,1,37,4,2,17.7,80.3,22.07,766.87,3.9,1
2025-01-16,Thursday,19,Dinner,Rainy,1,36,6,2,29.3,81.5,23.82,701.7,3.2,3
2025-03-28,Friday,12,Lunch,Sunny,0,53,9,4,14.7,77.8,25.89,1717.23,4.5,1
2025-03-05,Wednesday,14,Lunch,Cloudy,1,46,8,3,29.3,82.4,25.24,1354.24,2.9,1
2025-02-18,Tuesday,21,Dinner,Cloudy,0,29,3,2,33.8,73.7,18.57,470.4,2.4,3
2025-04-25,Friday,13,Lunch,Cloudy,1,36,7,4,16.4,84.2,18.53,541.72,4.8,0
2025-04-19,Saturday,13,Lunch,Cloudy,0,42,9,4,25.2,84.9,26.11,1013.94,3.0,0
2025-03-13,Thursday,20,Dinner,Sunny,1,42,7,4,7.7,76.0,20.16,720.23,4.4,0
2025-03-05,Wednesday,12,Lunch,Cloudy,1,32,7,3,22.9,76.9,17.53,724.27,4.2,0
2025-04-24,Thursday,21,Dinner,Sunny,0,50,7,4,13.9,74.7,27.13,1327.26,3.9,1
2025-01-26,Sunday,11,Lunch,Sunny,0,39,6,2,9.8,69.6,26.6,1154.12,4.5,0
2025-06-16,Monday,21,Dinner,Cloudy,1,32,5,2,19.0,69.8,19.73,768.4,3.4,2
2025-01-04,Saturday,12,Lunch,Sunny,0,46,6,2,21.2,79.7,23.35,1179.46,3.6,0
2025-03-02,Sunday,13,Lunch,Sunny,0,42,5,3,18.3,79.7,22.86,717.85,4.2,0
2025-04-15,Tuesday,20,Dinner,Sunny,0,41,6,4,35.6,84.0,23.61,1024.93,3.4,0
2025-05-04,Sunday,14,Lunch,Sunny,0,39,7,2,17.8,80.6,31.23,1221.09,3.5,1
2025-04-13,Sunday,11,Lunch,Sunny,1,36,5,2,20.1,78.0,27.18,940.63,3.5,2
2025-02-12,Wednesday,19,Dinner,Sunny,0,19,3,2,16.6,74.9,27.15,591.66,4.4,1
2025-01-01,Wednesday,19,Dinner,Cloudy,0,29,5,3,27.0,85.5,26.06,726.97,2.7,2
2025-03-09,Sunday,20,Dinner,Rainy,1,39,6,2,19.4,80.0,30.32,1186.11,4.3,3
2025-03-15,Saturday,19,Dinner,Cloudy,0,43,8,4,33.9,90.0,24.3,1074.06,2.6,2
2025-06-28,Saturday,21,Dinner,Cloudy,1,49,6,3,37.0,69.3,18.01,964.36,1.9,1
2025-06-19,Thursday,20,Dinner,Sunny,0,28,3,3,30.0,70.9,27.98,767.99,3.5,2
2025-02-09,Sunday,14,Lunch,Cloudy,0,30,5,2,21.4,82.5,21.1,763.69,3.0,2
2025-03-17,Monday,14,Lunch,Sunny,0,45,6,4,26.6,71.3,26.34,1226.2,3.5,1
2025-01-15,Wednesday,21,Dinner,Sunny,0,36,7,3,20.7,75.9,19.23,659.0,3.8,1
2025-01-16,Thursday,18,Dinner,Rainy,1,46,7,4,26.2,75.6,17.27,511.64,3.1,1
2025-01-15,Wednesday,11,Lunch,Sunny,1,47,8,4,29.3,77.4,21.8,914.53,3.1,2
2025-05-30,Friday,20,Dinner,Sunny,1,62,10,5,26.9,86.6,20.21,1329.7,3.8,3
2025-05-09,Friday,21,Dinner,Cloudy,1,53,7,4,29.2,81.1,20.94,1116.36,3.7,1
2025-02-10,Monday,11,Lunch,Sunny,0,28,4,2,20.2,65.9,22.67,409.05,4.0,0
2025-05-11,Sunday,12,Lunch,Cloudy,0,45,6,4,36.9,90.2,22.28,885.73,2.5,1
2025-02-17,Monday,12,Lunch,Sunny,0,34,6,2,19.4,65.6,15.57,654.08,3.6,2
2025-06-02,Monday,12,Lunch,Rainy,1,33,5,4,25.7,78.3,19.59,538.6,3.2,1
2025-06-22,Sunday,14,Lunch,Sunny,0,25,4,2,17.0,86.5,22.61,568.08,4.1,2
2025-04-14,Monday,12,Lunch,Sunny,1,45,7,3,14.8,68.7,32.2,1155.09,4.3,2
2025-05-26,Monday,14,Lunch,Cloudy,0,23,4,2,18.2,87.1,22.0,549.3,3.9,2
2025-05-29,Thursday,11,Lunch,Cloudy,0,50,9,3,29.8,80.9,18.14,762.34,2.8,0
2025-06-08,Sunday,12,Lunch,Cloudy,0,29,4,2,20.1,84.8,29.46,669.19,3.4,2
2025-04-18,Friday,21,Dinner,Sunny,0,45,7,3,25.3,71.4,21.55,699.18,3.2,1
2025-03-22,Saturday,17,Dinner,Rainy,0,42,7,2,16.2,79.0,14.84,650.78,3.4,2
2025-02-22,Saturday,18,Dinner,Sunny,0,37,5,2,22.9,62.9,25.99,800.72,3.6,1
2025-03-03,Monday,17,Dinner,Sunny,0,46,9,2,24.9,76.2,22.58,1435.33,2.7,0
2025-04-12,Saturday,13,Lunch,Rainy,1,50,10,3,26.7,88.0,21.67,1081.48,3.4,2
2025-06-21,Saturday,17,Dinner,Sunny,0,39,7,2,38.5,96.5,23.89,923.48,2.5,4
2025-04-28,Monday,18,Dinner,Sunny,1,54,8,4,37.9,89.3,29.07,1712.57,2.6,1
2025-01-19,Sunday,11,Lunch,Sunny,1,34,4,2,30.4,87.4,23.44,707.88,3.0,3
2025-04-28,Monday,12,Lunch,Sunny,0,46,6,2,25.4,75.9,23.43,1057.56,3.3,1
2025-01-19,Sunday,21,Dinner,Cloudy,1,49,7,4,25.9,72.6,17.07,741.94,3.2,2
2025-02-24,Monday,21,Dinner,Sunny,0,42,7,3,29.3,72.1,10.92,486.22,3.8,0
2025-03-09,Sunday,13,Lunch,Cloudy,0,47,8,4,23.0,89.8,18.38,873.65,3.2,1
2025-03-31,Monday,12,Lunch,Sunny,0,43,6,3,28.7,74.0,19.57,1010.35,3.0,2
2025-03-04,Tuesday,18,Dinner,Cloudy,1,35,6,2,24.9,79.1,22.64,426.58,3.3,2
2025-03-14,Friday,13,Lunch,Sunny,1,54,9,3,33.9,83.1,19.11,1093.13,2.4,2
2025-04-23,Wednesday,21,Dinner,Sunny,0,29,4,2,31.3,86.4,24.2,795.13,2.5,2
2025-03-19,Wednesday,21,Dinner,Cloudy,0,27,4,3,25.7,89.0,17.53,705.51,3.0,0
2025-01-03,Friday,21,Dinner,Rainy,0,34,5,2,19.1,82.4,20.95,678.01,3.3,1
2025-03-18,Tuesday,12,Lunch,Cloudy,0,34,5,2,26.9,71.7,27.46,1040.95,3.5,2
2025-02-04,Tuesday,17,Dinner,Sunny,1,40,6,4,18.3,58.7,21.03,638.48,4.0,1
2025-01-30,Thursday,12,Lunch,Sunny,0,41,6,2,33.2,84.1,20.22,822.84,3.0,0
2025-05-22,Thursday,13,Lunch,Sunny,0,35,5,2,30.9,88.0,18.55,686.23,3.1,2
2025-03-11,Tuesday,17,Dinner,Sunny,1,54,8,2,33.4,76.3,20.34,1186.05,2.5,1
2025-06-04,Wednesday,14,Lunch,Sunny,1,26,6,2,17.3,74.7,21.43,624.36,4.0,0
2025-03-29,Saturday,14,Lunch,Rainy,0,24,4,4,12.7,74.1,20.35,552.28,4.2,1
2025-06-25,Wednesday,17,Dinner,Sunny,1,50,7,3,34.8,88.7,19.75,799.94,2.6,3
2025-05-10,Saturday,20,Dinner,Sunny,0,65,10,5,19.6,82.7,22.28,1350.79,4.2,1
2025-03-06,Thursday,11,Lunch,Rainy,1,19,4,2,23.9,63.6,25.78,599.43,3.4,0
2025-01-24,Friday,19,Dinner,Sunny,0,35,6,2,15.2,90.0,25.2,1277.13,3.7,0
2025-03-12,Wednesday,11,Lunch,Rainy,1,47,7,4,30.1,71.5,22.2,1097.94,3.0,1
2025-01-01,Wednesday,18,Dinner,Sunny,1,38,3,3,30.0,86.2,27.01,1128.41,3.5,0
2025-02-03,Monday,17,Dinner,Rainy,0,24,3,2,11.2,65.9,18.91,299.35,4.0,0
2025-02-11,Tuesday,20,Dinner,Cloudy,1,49,7,4,27.0,75.8,26.76,1241.58,3.4,4
2025-05-22,Thursday,19,Dinner,Sunny,0,29,5,4,22.0,82.0,20.72,686.15,3.6,0
2025-05-24,Saturday,11,Lunch,Sunny,0,55,8,4,24.7,95.8,35.44,2040.21,3.3,3
2025-01-29,Wednesday,12,Lunch,Rainy,1,44,7,4,18.9,71.9,16.16,827.88,3.9,2
2025-06-26,Thursday,13,Lunch,Sunny,1,59,9,6,27.4,87.6,16.8,1189.15,3.9,1
2025-05-20,Tuesday,11,Lunch,Rainy,0,30,4,2,18.9,68.2,24.51,856.78,3.5,2
2025-04-05,Saturday,21,Dinner,Rainy,0,47,7,4,13.8,76.5,18.88,684.46,3.5,1
2025-02-07,Friday,19,Dinner,Sunny,1,64,10,3,26.2,79.5,18.65,1268.87,3.7,0
2025-02-02,Sunday,11,Lunch,Sunny,1,57,9,4,22.1,67.6,19.8,1036.6,3.3,1
2025-03-20,Thursday,18,Dinner,Sunny,0,52,6,4,29.7,72.5,23.35,1273.59,3.0,0
2025-01-11,Saturday,18,Dinner,Cloudy,0,46,6,4,27.6,72.4,26.28,1439.57,2.7,3
2025-02-23,Sunday,14,Lunch,Sunny,1,33,6,3,23.1,68.2,24.02,758.25,3.4,1
2025-06-20,Friday,12,Lunch,Sunny,1,64,10,5,22.5,77.1,22.27,1405.56,3.8,0
2025-04-01,Tuesday,21,Dinner,Sunny,1,43,7,5,27.4,87.9,16.75,805.44,2.9,1
2025-04-15,Tuesday,13,Lunch,Sunny,1,34,7,3,22.5,82.1,15.19,729.01,3.8,2
2025-03-02,Sunday,13,Lunch,Sunny,1,53,11,3,20.2,82.9,18.62,786.07,3.9,1
2025-02-15,Saturday,19,Dinner,Sunny,0,39,7,2,22.6,78.8,15.32,595.4,3.2,1
2025-01-07,Tuesday,13,Lunch,Cloudy,0,22,4,2,19.8,83.2,24.36,621.51,4.1,0
2025-03-27,Thursday,19,Dinner,Sunny,0,35,4,2,29.2,90.9,21.13,639.34,3.5,3
2025-06-21,Saturday,14,Lunch,Cloudy,1,63,8,3,32.2,91.1,21.53,1297.98,3.2,1
2025-03-10,Monday,13,Lunch,Cloudy,0,24,4,2,30.7,81.2,24.7,475.85,2.8,1
2025-06-29,Sunday,12,Lunch,Cloudy,0,33,4,2,22.3,79.3,24.78,503.92,4.1,1
2025-04-08,Tuesday,11,Lunch,Cloudy,1,43,5,4,22.7,83.0,29.62,1136.13,3.4,0
2025-05-01,Thursday,14,Lunch,Cloudy,0,27,5,2,21.8,66.5,21.8,581.07,4.6,2
2025-02-21,Friday,20,Dinner,Sunny,1,41,8,3,23.1,81.6,12.84,490.6,4.0,0
2025-03-31,Monday,17,Dinner,Rainy,1,29,4,3,20.1,76.7,20.38,253.99,3.4,1
2025-02-28,Friday,14,Lunch,Sunny,1,55,7,5,22.9,73.7,20.87,817.02,3.8,1
2025-01-07,Tuesday,14,Lunch,Sunny,1,55,8,4,32.8,78.8,20.87,1366.22,2.8,2
2025-04-13,Sunday,18,Dinner,Cloudy,0,42,6,4,23.3,78.0,24.42,1058.34,3.7,3
2025-03-13,Thursday,12,Lunch,Sunny,0,49,7,5,19.1,68.4,19.97,875.42,4.1,1
2025-03-13,Thursday,18,Dinner,Sunny,1,41,7,2,28.9,87.1,25.8,1072.55,3.1,2
2025-06-14,Saturday,21,Dinner,Sunny,1,57,8,5,22.9,83.7,17.63,1043.98,3.3,1
2025-04-13,Sunday,21,Dinner,Sunny,0,38,4,3,24.3,85.0,21.79,778.6,3.7,4
2025-03-26,Wednesday,11,Lunch,Cloudy,0,46,6,4,25.1,79.3,20.98,1147.3,3.1,1
2025-01-30,Thursday,17,Dinner,Cloudy,0,48,8,5,31.3,91.5,24.32,1412.45,3.6,4
2025-02-15,Saturday,17,Dinner,Sunny,0,48,5,4,29.8,78.1,23.49,1420.64,2.8,3
2025-01-10,Friday,12,Lunch,Cloudy,1,63,11,4,27.5,95.0,24.13,1818.25,3.0,1
2025-06-02,Monday,19,Dinner,Sunny,1,58,10,5,29.1,86.9,11.18,684.64,2.6,2
2025-03-30,Sunday,18,Dinner,Cloudy,0,26,4,3,22.6,81.2,26.2,745.52,3.4,1
2025-04-22,Tuesday,21,Dinner,Cloudy,0,37,6,4,20.6,75.9,21.06,830.68,3.8,1
2025-01-30,Thursday,19,Dinner,Sunny,0,28,3,2,24.8,66.3,21.15,500.3,3.8,1
2025-05-28,Wednesday,14,Lunch,Sunny,0,48,6,3,27.0,88.2,21.48,743.33,3.1,2
2025-03-07,Friday,11,Lunch,Cloudy,0,48,6,3,16.5,74.3,19.67,1081.47,3.7,0
2025-04-22,Tuesday,11,Lunch,Sunny,0,40,8,4,23.7,75.9,26.22,1232.38,3.5,3
2025-05-14,Wednesday,21,Dinner,Sunny,1,9,3,2,21.7,75.8,25.74,250.0,3.4,0
2025-06-25,Wednesday,14,Lunch,Rainy,0,33,7,4,30.6,82.1,24.18,570.44,3.6,0
2025-04-04,Friday,19,Dinner,Cloudy,0,33,4,2,28.0,78.4,24.52,780.53,3.2,0
2025-01-18,Saturday,18,Dinner,Sunny,1,57,8,4,35.2,81.9,24.04,1472.48,2.5,1
2025-06-09,Monday,18,Dinner,Sunny,1,39,7,4,17.7,79.3,13.24,511.7,3.5,1
2025-06-19,Thursday,12,Lunch,Sunny,0,37,5,2,14.6,68.9,24.83,506.58,3.8,3
2025-03-18,Tuesday,21,Dinner,Rainy,0,31,3,3,26.0,84.7,38.7,887.08,4.0,1
2025-03-21,Friday,19,Dinner,Sunny,0,39,6,2,27.9,78.4,18.48,653.22,3.6,1
2025-03-25,Tuesday,19,Dinner,Cloudy,0,41,8,3,24.7,80.6,28.18,1047.56,3.7,1
2025-06-28,Saturday,17,Dinner,Rainy,1,46,7,5,33.2,81.3,16.49,889.95,3.1,2
2025-05-22,Thursday,13,Lunch,Sunny,0,26,3,2,19.2,67.8,24.19,620.66,3.9,1
2025-02-19,Wednesday,19,Dinner,Sunny,1,51,9,5,28.1,87.5,24.66,1001.55,2.5,4
2025-06-20,Friday,19,Dinner,Sunny,0,39,5,4,21.5,80.7,20.72,534.99,3.7,1
2025-06-23,Monday,13,Lunch,Cloudy,0,44,7,4,17.8,80.0,23.8,1086.8,4.3,2
2025-06-07,Saturday,17,Dinner,Sunny,0,49,8,4,17.6,67.3,22.61,1130.23,3.6,1
2025-04-14,Monday,21,Dinner,Cloudy,0,17,3,2,22.8,75.2,22.42,400.57,3.4,1
2025-01-01,Wednesday,17,Dinner,Cloudy,0,16,3,2,22.2,61.0,21.69,520.07,3.3,1
2025-03-15,Saturday,14,Lunch,Sunny,0,57,9,4,16.5,78.8,24.85,1297.62,3.0,0
2025-04-21,Monday,18,Dinner,Rainy,0,31,5,2,23.2,59.0,20.37,699.5,3.1,3
